student_application_id,status,transaction_id,mc_gross,received_at,invoice,currency,params
12,Processed,5211241540,35,nil,26154948,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
13,In-Progress,5211241541,40,nil,26180437,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
14,Denied,5211241542,45,nil,26205926,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
15,Expiered,5211241543,50,nil,26231415,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
1,Failed,5211241544,55,nil,26256904,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
2,Pending,5211241545,60,nil,26282393,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
3,Completed,5211241546,65,nil,26307882,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
4,Completed,5211241547,70,nil,26333371,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
5,Processed,5211241548,75,nil,26358860,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
6,In-Progress,5211241549,80,nil,26384349,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
7,Denied,5211241550,85,nil,26409838,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
8,Expiered,5211241551,90,nil,26435327,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
